Year,City,State,Team,PositionInLeague,InSuperBowl,WonSuperBowl,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
2015,Phoenix,Arizona,Cardinals,2,0,0,4574531,2271321,49.7,2303210,50.3,296401,6.5,316306,6.9,324343,7.1,309673,6.8,306651,6.7,647947,14.2,602586,13.2,583789,12.8,269667,5.9,246158,5.4,393701,8.6,197436,4.3,79873,1.7,3446937,3446937,1696233,49.2,1750704,50.8,671010,671010,304737,45.4,366273,54.6,4423835,96.7,3571536,78.1,246270,5.4,102072,2.2,173160,3.8,8832,0.2,1388891,30.4,321965,7,150696,3.3,389017,2221947,324942,530642,800290,694273,30.9,68.4,74.7,74.3,76.1,76,66.6,50.3,20.8,5.1,71.4,76.5,66.3,39,78.5,71.8,57,64.9,74.2,81.4,20.8,8.9,7.1,5.2,4,3.8,4.4,4.6,5.3,4.2,5.2,5.2,5.2,19.4,3.7,4.7,6.7,6.1,4.8,3
2015,Los Angeles,California,Rams,21,0,0,13340068,6575344,49.3,6764724,50.7,831647,6.2,814432,6.1,826873,6.2,881666,6.6,986380,7.4,2051650,15.4,1825519,13.7,1856219,13.9,843775,6.3,713727,5.4,964385,7.2,511305,3.8,232490,1.7,10344073,10344073,5044478,48.8,5299595,51.2,1708180,1708180,741056,43.4,967124,56.6,12859772,96.4,7267784,54.5,890429,6.7,85476,0.6,2093603,15.7,39514,0.3,6015717,45.1,2482966,18.6,480296,3.6,1148638,7059731,1413326,1462267,1969219,2446078,19,60.7,75.3,78,77.1,76,68.1,54.9,26.2,6.4,71.9,78.6,65.3,39.7,77.7,73.5,63.3,68.4,74.1,81.9,26.2,12.2,7.5,5.7,5,5.2,5.7,4.9,4.3,5.2,6.3,6.2,6.5,21.4,4.8,5.6,6.8,7,6.2,4
2015,Los Angeles,California,Chargers,30,0,0,13340068,6575344,49.3,6764724,50.7,831647,6.2,814432,6.1,826873,6.2,881666,6.6,986380,7.4,2051650,15.4,1825519,13.7,1856219,13.9,843775,6.3,713727,5.4,964385,7.2,511305,3.8,232490,1.7,10344073,10344073,5044478,48.8,5299595,51.2,1708180,1708180,741056,43.4,967124,56.6,12859772,96.4,7267784,54.5,890429,6.7,85476,0.6,2093603,15.7,39514,0.3,6015717,45.1,2482966,18.6,480296,3.6,1148638,7059731,1413326,1462267,1969219,2446078,19,60.7,75.3,78,77.1,76,68.1,54.9,26.2,6.4,71.9,78.6,65.3,39.7,77.7,73.5,63.3,68.4,74.1,81.9,26.2,12.2,7.5,5.7,5,5.2,5.7,4.9,4.3,5.2,6.3,6.2,6.5,21.4,4.8,5.6,6.8,7,6.2,4
2015,San Francisco,California,49ers,28,0,0,4656132,2296824,49.3,2359308,50.7,263033,5.6,264613,5.7,259153,5.6,251611,5.4,281633,6,741492,15.9,674045,14.5,665515,14.3,313847,6.7,273853,5.9,382109,8.2,191398,4.1,93830,2,3716734,3716734,1819209,48.9,1897525,51.1,667337,667337,292690,43.9,374647,56.1,4401721,94.5,2342118,50.3,351413,7.5,22920,0.5,1186476,25.5,36096,0.8,1021469,21.9,462698,9.9,254411,5.5,300563,2628651,281676,409150,668465,1309461,25.2,64.5,79.1,82,81.1,78.8,71.7,58.2,28.2,6.1,75.7,81,70.4,37.4,80.6,76.9,61.8,69,75,83.6,19.2,10.9,5.5,4.5,3.8,4.6,5,4.8,3.1,1.3,5.1,5.1,5.2,23.1,3.9,4.6,7.2,6.8,5.2,3.3
2015,Denver,Colorado,Broncos,4,1,1,2814330,1401100,49.8,1413230,50.2,177290,6.3,189452,6.7,187333,6.7,169194,6,171977,6.1,453574,16.1,410292,14.6,378194,13.4,178402,6.3,162212,5.8,207672,7.4,89325,3.2,39413,1.4,2152998,2152998,1064454,49.4,1088544,50.6,336410,336410,149739,44.5,186671,55.5,2709369,96.3,2297071,81.6,156682,5.6,21005,0.7,109547,3.9,3856,0.1,645348,22.9,121208,4.3,104961,3.7,161714,1578956,144023,305097,456525,677029,38.3,73.5,83.3,82.7,82.4,83.3,74.3,59.2,26.9,6.2,78.9,84.5,73.2,43.7,83.2,79.5,63.3,75.9,79.2,84.8,12.2,7.3,5.6,4.1,3.6,3.3,4.1,3.7,3.5,4.4,4.3,4.3,4.3,19.6,3.3,4,6.4,4.8,4.4,2.9
2015,Jacksonville,Florida,Jaguars,27,0,0,1449481,706130,48.7,743351,51.3,88100,6.1,89095,6.1,93261,6.4,92009,6.3,93793,6.5,208929,14.4,182014,12.6,201320,13.9,99768,6.9,89412,6.2,128572,8.9,60372,4.2,22836,1.6,1121708,1121708,538094,48,583614,52,211780,211780,92986,43.9,118794,56.1,1405053,96.9,1014599,70,314130,21.7,2585,0.2,57094,3.9,1461,0.1,119223,8.2,15184,1,44428,3.1,112386,748005,72583,211252,256045,241563,27.6,69.2,74.1,73.7,75.8,74.2,64.9,49.7,22.4,4.7,70.4,73.9,67,35.9,76.7,70.5,51.9,63.6,72.6,79.8,24.6,9.2,9.1,5.9,7,5.4,6.8,3.9,3.6,12.1,6.8,7.1,6.5,29.6,4.6,6.5,11,9.5,5.8,4
2015,Miami,Florida,Dolphins,23,0,0,6012331,2914201,48.5,3098130,51.5,342434,5.7,340639,5.7,338302,5.6,348555,5.8,371269,6.2,808683,13.5,795889,13.2,874092,14.5,394016,6.6,353887,5.9,546947,9.1,338016,5.6,159602,2.7,4775586,4775586,2283713,47.8,2491873,52.2,1044565,1044565,447514,42.8,597051,57.2,5885173,97.9,4248409,70.7,1295408,21.5,7957,0.1,147612,2.5,1637,0,2632792,43.8,184150,3.1,127158,2.1,512237,3047768,394466,874264,920257,1037580,22,62.5,76,77.5,78.8,77.3,69.9,54.4,26.1,6.1,72.9,77.7,68.4,38.8,79.5,74.1,58.2,69.8,76.7,81.5,22.9,11.9,8.4,7.2,5.7,5.7,6.2,5.2,4.3,3.9,6.8,6.5,7.1,26.7,4.7,6.3,10.4,8,5.9,4.1
2015,Tampa,Florida,Buccaneers,25,0,0,2975225,1439869,48.4,1535356,51.6,161138,5.4,171212,5.8,166543,5.6,172411,5.8,175012,5.9,383455,12.9,367076,12.3,413449,13.9,208666,7,191214,6.4,313985,10.6,171464,5.8,79600,2.7,2369761,2369761,1130195,47.7,1239566,52.3,565049,565049,251326,44.5,313723,55.5,2889809,97.1,2324830,78.1,357976,12,9150,0.3,100038,3.4,2272,0.1,541869,18.2,95543,3.2,85416,2.9,242344,1483416,147972,427621,513383,474884,27.2,65,77.3,73.6,78.2,75,66,50.6,21.1,4.8,71,74.8,67.5,33.5,77.7,71.7,53.4,66,71.9,82.3,18,11.7,7.1,8.4,5,4.9,5.2,4.5,4.1,4.9,6.3,6.6,5.9,29.5,4.1,5.7,9.9,7.7,5.9,3
2015,Atlanta,Georgia,Falcons,14,0,0,5709731,2768670,48.5,2941061,51.5,367065,6.4,405048,7.1,418044,7.3,398541,7,386396,6.8,789903,13.8,829207,14.5,823961,14.4,354029,6.2,300846,5.3,407921,7.1,168808,3,59962,1.1,4270010,4270010,2030550,47.6,2239460,52.4,636691,636691,273565,43,363126,57,5569881,97.6,3126057,54.7,1918474,33.6,17276,0.3,318702,5.6,2031,0,603175,10.6,187341,3.3,139850,2.4,418851,3018485,323943,722126,861775,1190102,25.8,64.1,78.4,78.2,79.4,77.8,69.8,52.8,23.7,6,73.8,79.5,68.6,41.6,79.2,75,57.1,68.4,75.3,83.8,21.6,12.5,7.2,6.1,5.3,5,5.1,4.5,5.5,3.6,6.2,6,6.5,23.2,4.7,5.5,10.3,7,6.6,3
2015,Chicago,Illinois,Bears,22,0,0,9550108,4669867,48.9,4880241,51.1,591582,6.2,618075,6.5,641599,6.7,636303,6.7,654881,6.9,1364392,14.3,1284702,13.5,1314558,13.8,643699,6.7,549034,5.7,724638,7.6,363990,3.8,162655,1.7,7307058,7307058,3526562,48.3,3780496,51.7,1251283,1251283,537147,42.9,714136,57.1,9319623,97.6,6302165,66,1603377,16.8,23070,0.2,611259,6.4,3951,0,2092026,21.9,775801,8.1,230485,2.4,673936,5076506,553668,1190955,1441083,1970679,27.4,66,78.1,79.7,78.7,78.4,71.2,55.6,25.9,6.2,74.2,79.6,69,36.9,79.9,75.3,58.3,67.6,75.9,84.3,24.4,13,7.4,5.5,5.8,5.4,5.8,4.8,4,3.2,6.6,6.6,6.6,28.5,4.8,5.8,9.9,8.5,6.3,3.3
