MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Atlanta-Sandy Springs-Roswell, GA Metro Area",368247,3160240,296351,753282,881415,1261355,28.4,68.6,79.9,80.5,79.9,80.3,72.1,55.6,25.9,6.6,75.9,81.3,70.8,41.2,80.8,76.7,58.9,70.4,77.2,84.4,16,9.9,5.3,4.2,4.4,3.6,4,3.7,3.6,2.3,4.8,4.3,5.3,20.3,3.7,4.2,7.4,5.5,4.5,2.8
"Baltimore-Columbia-Towson, MD Metro Area",155790,1513164,124602,360310,408473,630135,32.7,63.3,78.9,80.5,82.1,80.5,73.8,60.2,28.6,8.1,75.9,78.2,73.6,32.6,81.9,77.3,49.3,69.5,77.8,87.1,16.1,11.1,6.5,5,3.9,3.6,3.7,2.4,4.3,3.3,4.8,4.9,4.7,25.2,3.7,4.2,12.5,6.6,4,2.1
"Boston-Cambridge-Newton, MA-NH Metro Area",259108,2657248,183844,545614,570943,1338563,37.1,69.4,82,85.1,83.3,82.5,77.3,65.2,34,7.9,79,82.1,76.1,37,84.2,80.3,60.1,73.1,80.1,86.1,14.1,7.8,4.4,4,3.6,3.1,3.5,2.7,3.7,3.5,4,4.2,3.8,21.2,3,3.5,6.9,5.5,3.6,2.5
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",87756,574111,41053,153437,194532,211330,36.8,71,82.5,81.3,81.4,79.5,69.4,56.9,21.9,6.8,75.5,77.1,74,34.8,82.8,76.1,42.5,68.1,77,87.6,15,6.8,6,5.3,3.2,3.3,3.8,1.7,4.6,2.1,4.2,4.8,3.6,22.9,2.7,3.9,12.2,5.3,3.9,2.3
"Charlotte-Concord-Gastonia, NC-SC Metro Area",163051,1339251,133532,298619,413382,520038,36.4,68.9,81.1,81.9,81.5,78.5,70.4,53,24.7,7.5,75.7,81,70.7,38.3,80.9,76.5,55.3,70.3,77.3,84.8,14,10.2,4.8,4.4,4,3.3,3.7,2,2.1,3.3,4.4,4.1,4.8,20,3.3,3.8,10.5,4.5,4.1,2
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",598635,5090347,528693,1152805,1397935,2042373,31,65.5,79.9,80.6,80.5,79.2,71.8,58,27.3,6.3,75.3,80.3,70.5,36.8,80.5,76.5,60,69.3,76.5,84.9,19,12.9,6.8,5.3,4.7,4.6,4.2,4.1,3.7,2.7,5.8,5.9,5.6,27.4,4.2,5,7.7,7.4,5.4,2.9
"Cincinnati, OH-KY-IN Metro Area",141831,1126453,87211,328914,327843,401224,38.5,72.8,81.4,83.1,82.9,80,72,54.7,27.3,6.3,76.6,80.1,73.2,39.4,82.3,77.1,51.7,71,78,86.8,14.4,6.6,5.1,4.3,3.5,2.9,2.5,2.7,1.7,3.4,3.8,3.9,3.7,19.2,2.7,3.5,9.7,4.2,4.1,1.7
"Cleveland-Elyria, OH Metro Area",163171,1020521,86370,287179,346464,352052,37,70.1,78.3,79.9,78.4,79,70.1,57.6,26.1,5,74.2,76.7,71.8,34.4,81.5,74.7,45.8,67.9,76.5,85.6,19.3,10.3,8.1,4.6,4.7,4,4.1,3.5,5,5.5,5.4,5.9,4.8,25.7,3.6,4.8,11.9,6.3,5.4,2.1
"Dallas-Fort Worth-Arlington, TX Metro Area",416691,3998470,569323,874789,1125553,1395165,30.6,70.5,80.3,79.6,80.6,80.6,73.5,59.2,29.2,7.7,76.8,84.5,69.2,42.2,80.9,77.5,67.2,71.8,78.3,84.7,17.1,7.6,4.6,3.8,3.2,3.3,3.4,3,2.9,2.3,4,3.7,4.3,16.5,3.2,3.5,4.6,4.4,4,2.3
"Denver-Aurora-Lakewood, CO Metro Area",142607,1644456,141743,321916,437353,732424,41.2,78.5,84.6,83.2,84.2,83.6,74.5,62.5,28,7.8,80.5,85,75.9,44.8,84.3,80.7,66,75.7,80.4,85.9,11.6,5.7,3.1,3.6,2.5,2.3,2.7,2.9,2.6,1.1,3,3.2,2.9,13.9,2.5,2.8,3.8,3.6,2.8,2.3
