State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,7171646,3565129,49.7,3606517,50.3,434032,6.1,441613,6.2,488738,6.8,477306,6.7,489653,6.8,979328,13.7,882618,12.3,852462,11.9,430467,6,436326,6.1,727956,10.2,398408,5.6,132739,1.9,5529647,77.1,2726338,49.3,2803309,50.7,1259103,17.6,579400,46,679703,54,6884666,96,5590505,78,336340,4.7,330599,4.6,237873,3.3,15661,0.2,2266342,31.6,373688,5.2,286980,4,517987,3461127,448925,845193,1221516,1065567,32,67.9,75.5,75.1,76.3,76.8,66.4,51.4,21.2,5.5,71.4,75.9,67,38,78.1,71.9,56.5,65.8,73.2,81.8,18.5,8.7,6.7,4.5,4,3.1,4.3,3.6,4,4.2,4.8,4.9,4.6,18,3.7,4.3,7.3,6.3,3.9,2.3
California,39557045,19673553,49.7,19883492,50.3,2428493,6.1,2398894,6.1,2646096,6.7,2557470,6.5,2710448,6.9,6034398,15.3,5264457,13.3,5068026,12.8,2485050,6.3,2296376,5.8,3286461,8.3,1651296,4.2,729580,1.8,30571507,77.3,15074187,49.3,15497320,50.7,5667337,14.3,2521517,44.5,3145820,55.5,37552583,94.9,23535388,59.5,2283850,5.8,302792,0.8,5821585,14.7,155739,0.4,15540142,39.3,5453229,13.8,2004462,5.1,2664483,20828294,3257883,4409384,6135007,7346033,23.7,63.8,76.3,78.3,78.1,77.1,69.4,56.1,26.3,6.7,73,78.2,67.7,37.3,78.7,74.2,61.3,69.3,74,83,20,10,6.1,5.1,4.4,4.1,3.9,3.8,3.5,4.2,5.2,5.1,5.3,20.9,4,4.6,7,5.8,4.7,3.1
Colorado,5695564,2864761,50.3,2830803,49.7,335642,5.9,352145,6.2,364535,6.4,368833,6.5,374122,6.6,889656,15.6,781388,13.7,710218,12.5,362167,6.4,349003,6.1,502418,8.8,218031,3.8,87406,1.5,4428826,77.8,2215430,50,2213396,50,807855,14.2,369328,45.7,438527,54.3,5468094,96,4790677,84.1,237578,4.2,55146,1,180277,3.2,7585,0.1,1235127,21.7,196831,3.5,227470,4,306728,3099292,247011,626795,909073,1309553,39.6,74.2,82.1,80.9,81.9,81.6,73.8,59.5,28.8,7.4,77.8,81.7,73.8,41.3,82.8,78.3,63.2,71.4,77.3,85.1,14.9,6.3,3.7,3.4,3.2,2.8,2.5,3.1,3.1,3.2,3.5,3.7,3.1,17.8,2.6,3.1,5.3,4.3,3.1,2.3
Florida,21299325,10404676,48.8,10894649,51.2,1135392,5.3,1127602,5.3,1244592,5.8,1234024,5.8,1255590,5.9,2758515,13,2586704,12.1,2741968,12.9,1449290,6.8,1406864,6.6,2404234,11.3,1393550,6.5,561000,2.6,17071450,80.2,8246984,48.3,8824466,51.7,4358784,20.5,1965555,45.1,2393229,54.9,20685400,97.1,15899574,74.6,3410741,16,59870,0.3,593634,2.8,12841,0.1,5562452,26.1,708740,3.3,613925,2.9,1486845,10499008,1140111,3068690,3354265,3380275,28.4,65.9,77.4,76.9,78.2,77.3,67.4,51.9,22,5.8,72.2,76.2,68.3,36.8,78.5,72.9,56.8,68.5,74.5,80.8,18.8,9,5.7,4.8,4.3,3.7,3.6,3.6,3.8,4.9,4.7,4.6,4.9,20.4,3.5,4.3,7.1,5.1,4.5,2.7
Georgia,10519475,5120290,48.7,5399185,51.3,645488,6.1,683042,6.5,739018,7,754377,7.2,719378,6.8,1442243,13.7,1401044,13.3,1396330,13.3,667863,6.3,614264,5.8,896948,8.5,416680,4,142800,1.4,8016182,76.2,3835526,47.8,4180656,52.2,1456428,13.8,633675,43.5,822753,56.5,10233069,97.3,6127645,58.3,3319691,31.6,34485,0.3,436051,4.1,14049,0.1,1021754,9.7,301148,2.9,286406,2.7,761764,5325414,623643,1476761,1584996,1836344,27.8,65.2,76.3,77.3,78.1,77.6,68.5,53.2,23,7,72.7,76.9,68.7,37.5,79.6,73.7,53.9,67.5,74.6,84.5,17.3,8.4,6.2,4.9,3.6,3.2,2.8,2.5,3.1,2.4,4.4,4.1,4.6,19.1,3.1,3.9,6.5,4.9,4.3,2.2
Illinois,12741080,6266062,49.2,6475018,50.8,759456,6,762237,6,838140,6.6,835845,6.6,839026,6.6,1765517,13.9,1644390,12.9,1636054,12.8,855616,6.7,814251,6.4,1143329,9,587651,4.6,259568,2,9885278,77.6,4801941,48.6,5083337,51.4,1990548,15.6,869736,43.7,1120812,56.3,12400103,97.3,9135145,71.7,1793079,14.1,35846,0.3,717938,5.6,5317,0,2208868,17.3,712778,5.6,340977,2.7,831166,6590880,629802,1610641,1958331,2517054,33.5,68,79,81.5,81.4,80,72,57,25.9,6.8,75.7,79.6,71.7,37.9,81.6,76.6,56.6,69.3,77.3,85.8,17.1,10.2,6.6,5,4.2,4,4.3,3.9,3.1,2.6,5.2,5.1,5.2,24,3.8,4.6,9.1,7,4.6,2.4
Indiana,6691878,3295973,49.3,3395905,50.7,417774,6.2,430155,6.4,451395,6.7,459222,6.9,465439,7,874246,13.1,826473,12.4,841750,12.6,447600,6.7,426678,6.4,613699,9.2,310870,4.6,126577,1.9,5124821,76.6,2493916,48.7,2630905,51.3,1051146,15.7,462537,44,588609,56,6511237,97.3,5539927,82.8,637277,9.5,14040,0.2,154220,2.3,3470,0.1,472419,7.1,162303,2.4,180641,2.7,470172,3328333,348229,1051554,1035006,981958,38.6,71.6,79.7,79.2,80.1,78.8,71.9,55.7,24.8,7.3,75,79.4,70.7,38.1,81.6,75.5,53,70.1,78.5,86,13.7,7.1,5,4.2,3.6,3.2,2.5,2.2,3.8,2.5,4,4,3.9,18.3,2.8,3.5,7.9,4.7,3.1,1.9
Louisiana,4659978,2276530,48.9,2383448,51.1,301857,6.5,297439,6.4,317930,6.8,308126,6.6,308893,6.6,645255,13.8,589714,12.7,567313,12.2,303589,6.5,299252,6.4,434897,9.3,211869,4.5,73844,1.6,3562393,76.4,1712995,48.1,1849398,51.9,720610,15.5,315499,43.8,405111,56.2,4554933,97.7,2877115,61.7,1509407,32.4,25657,0.6,76255,1.6,1133,0,239954,5.1,65366,1.4,105045,2.3,443503,2193798,315355,810064,679883,599821,23.6,59.7,73.2,74.1,74.3,71.3,62.7,48.3,23,6.9,67.7,70.5,65,33.9,76.7,68.7,44.5,63.9,72.5,83.7,24.9,11.3,6.2,6.3,6,4.9,3.3,2.4,3,1.3,5.9,6,5.7,24.2,3.8,5.2,12.5,6.6,4.3,2.3
Maryland,6042718,2930350,48.5,3112368,51.5,361435,6,364571,6,385477,6.4,379728,6.3,384168,6.4,826526,13.7,775079,12.8,822740,13.6,418074,6.9,393879,6.5,546442,9,276084,4.6,108515,1.8,4704363,77.9,2246001,47.7,2458362,52.3,931041,15.4,401479,43.1,529562,56.9,5819703,96.3,3305047,54.7,1810885,30,13433,0.2,378985,6.3,7311,0.1,628435,10.4,304042,5,223015,3.7,292395,3261457,272210,743189,851436,1369463,30.6,66,81,81.3,82.2,82.5,76.1,61.2,30.7,8.2,77.3,80,74.8,38.2,82.2,78.7,61.3,71.3,78.2,86.3,17.3,10.6,5.9,5.5,3.6,3.2,3.4,2.8,3.5,3,4.6,4.5,4.7,24.8,3.5,3.9,7.1,6,4.5,2.3
Massachusetts,6902149,3350887,48.5,3551262,51.5,357223,5.2,369278,5.4,392598,5.7,457341,6.6,492981,7.1,990332,14.3,842140,12.2,921551,13.4,490589,7.1,450575,6.5,656546,9.5,327266,4.7,153729,2.2,5535023,80.2,2652764,47.9,2882259,52.1,1137541,16.5,492790,43.3,644751,56.7,6667405,96.6,5335175,77.3,537523,7.8,16198,0.2,472403,6.8,2775,0,846780,12.3,303331,4.4,234744,3.4,380502,3702549,284565,804883,855796,1749943,34.5,67.1,82,82.7,83.4,80.7,75.6,62.9,31.5,8.1,77.5,79.9,75.2,33.1,83.3,78.9,54.6,71.2,78.5,86.6,16.8,8.6,4.9,3.7,3.6,3.6,4,3.3,3.4,1.5,4.3,4.5,4.1,21,3.4,3.8,10.1,5.5,3.9,2.4
